wR,wL
0.0,0.0
0.0013962634015954637,0.00034906585039886593
0.0027925268031909274,0.0006981317007977319
0.0041887902047863905,0.0010471975511965976
0.005585053606381855,0.0013962634015954637
0.006981317007977318,0.0017453292519943296
0.008377580409572781,0.0020943951023931952
0.009773843811168246,0.0024434609527920616
0.01117010721276371,0.0027925268031909274
0.012566370614359173,0.0031415926535897933
0.013962634015954638,0.0034906585039886596
0.015358897417550104,0.003839724354387526
0.01675516081914557,0.004188790204786392
0.018151424220741036,0.004537856055185259
0.0195476876223365,0.004886921905584125
0.020943951023931963,0.005235987755982991
0.02234021442552743,0.0055850536063818575
0.023736477827122897,0.005934119456780724
0.02513274122871836,0.00628318530717959
0.026529004630313827,0.006632251157578457
0.027925268031909287,0.006981317007977322
0.02932153143350475,0.007330382858376188
0.030717794835100218,0.0076794487087750544
0.032114058236695685,0.008028514559173921
0.03351032163829115,0.008377580409572788
0.03490658503988661,0.008726646259971653
0.03630284844148208,0.00907571211037052
0.03769911184307754,0.009424777960769385
0.039095375244673006,0.009773843811168251
0.04049163864626847,0.010122909661567118
0.04188790204786394,0.010471975511965985
0.04328416544945941,0.010821041362364852
0.04468042885105487,0.011170107212763717
0.046076692252650334,0.011519173063162583
0.0474729556542458,0.01186823891356145
0.04886921905584127,0.012217304763960317
0.050265482457436735,0.012566370614359184
0.05166174585903219,0.012915436464758047
0.053058009260627655,0.013264502315156914
0.05445427266222312,0.01361356816555578
0.05585053606381858,0.013962634015954645
0.05724679946541405,0.014311699866353512
0.058643062867009516,0.014660765716752379
0.06003932626860498,0.015009831567151246
0.06143558967020045,0.015358897417550112
0.06283185307179591,0.015707963267948977
0.06422811647339138,0.016057029118347846
0.06562437987498684,0.01640609496874671
0.0670206432765823,0.016755160819145576
0.06841690667817778,0.017104226669544444
0.06981317007977322,0.017453292519943306
0.0712094334813687,0.017802358370342174
0.07260569688296416,0.01815142422074104
0.07400196028455962,0.018500490071139904
0.07539822368615508,0.01884955592153877
0.07679448708775055,0.019198621771937638
0.07819075048934601,0.019547687622336503
0.07958701389094149,0.01989675347273537
0.08098327729253695,0.020245819323134236
0.0823795406941324,0.0205948851735331
0.08377580409572788,0.02094395102393197
0.08517206749732334,0.021293016874330835
0.08656833089891881,0.021642082724729703
0.08796459430051427,0.02199114857512857
0.08936085770210973,0.022340214425527433
0.0907571211037052,0.0226892802759263
0.09215338450530067,0.023038346126325167
0.09354964790689613,0.023387411976724032
0.0949459113084916,0.0237364778271229
0.09634217471008706,0.024085543677521765
0.09773843811168254,0.024434609527920634
0.09913470151327798,0.024783675378319495
0.10053096491487347,0.025132741228718367
0.10192722831646892,0.02548180707911723
0.10332349171806438,0.025830872929516094
0.10471975511965985,0.026179938779914962
0.10611601852125531,0.026529004630313827
0.10751228192285078,0.026878070480712696
0.10890854532444624,0.02722713633111156
0.11030480872604172,0.02757620218151043
0.11170107212763716,0.02792526803190929
0.11309733552923264,0.02827433388230816
0.1144935989308281,0.028623399732707024
0.11588986233242357,0.028972465583105893
0.11728612573401903,0.029321531433504758
0.1186823891356145,0.029670597283903626
0.12007865253720997,0.03001966313430249
0.12147491593880541,0.030368728984701353
0.1228711793404009,0.030717794835100225
0.12426744274199635,0.031066860685499086
0.12566370614359182,0.031415926535897955
0.12705996954518728,0.03176499238629682
0.12845623294678277,0.03211405823669569
0.1298524963483782,0.03246312408709455
0.1312487597499737,0.03281218993749342
0.13264502315156915,0.03316125578789229
0.1340412865531646,0.03351032163829115
0.13543754995476007,0.03385938748869002
0.13683381335635555,0.03420845333908889
0.13823007675795101,0.034557519189487754
0.13962634015954645,0.03490658503988661
0.1410226035611419,0.03525565089028548
